0,total_EAD_MEUR,EAD_river_MEUR,EAD_earthquake_MEUR,damage_RP100_river_MEUR,exposed_qty_RP100_river,EAD_aerodrome_MEUR,EAD_apron_MEUR,EAD_runway_MEUR,EAD_terminal_MEUR
curve_F7_4,0.02523449283390468,0.025928755029045594,0.009083329755327161,0.012220409761152205,0.01716455261284235,0.02519298526867243,0.008275113870384364,0.12221035671103583,0.01569416430498486
curve_F9_1,0.03355785759587732,0.03552221309734088,0.008551305983909628,0.32542299301557126,0.01529988692898952,0.035030530687844584,0.006801486991157045,0.029480424531294517,0.01501513960291514
curve_E7_10,0.02703306021350811,0.025661065427758718,0.0111506029416892,0.012387975391379705,0.021010471040484854,0.026595673952708072,0.008758738794241216,0.03798374379919038,0.02005439733385414
curve_E9_2,0.024262355460863718,0.022131661053702786,0.6897865986861224,0.010767294990817609,0.01464390752202606,0.024483761752244922,0.7347420092765008,0.03375164462883845,0.0907064445978538
warming,0.12756886746193677,0.13572919483342527,0.009713424593340333,0.012357885816449655,0.01842744901725775,0.1310208007831876,0.008573679106577331,0.13232804364137343,0.017704401309374933
cost_level,0.03760306969318382,0.03653259092876136,0.14009489261911265,0.12758972069996227,0.02071921139438003,0.037167891204075,0.09568002401716459,0.07734001499516868,0.7570313758693994
protection_scale,0.6166417044817094,0.6113093310770347,0.010096183358957919,0.012641179158347827,0.021613641637695025,0.6134437465454396,0.008535550622969476,0.3219911117374694,0.019469534916988544
depth_offset,0.06273121667168761,0.06132199170020193,0.009205403672615905,0.454835367004462,0.8431587446108789,0.060061337229999,0.008949173135210247,0.1857797189671134,0.018723069783200954
pga_scale,0.026351823744042806,0.027276825849756606,0.10654985630039099,0.012626548642413474,0.019689404807509404,0.027400930024941456,0.1142898923999307,0.03302919101818889,0.0358933756974071
aggregation,0.019015551843285877,0.01858637100297232,0.005768402088533933,0.019150625519443916,0.008272730427935956,0.019602342550887396,0.005394331785864388,0.02610574997032685,0.00970809658402116
