outcome,factor,S1,S1_conf,ST,ST_conf,interaction
total_EAD_MEUR,curve_F7_4,-5.8721530963883276e-05,0.00012203294016114651,9.404079980682149e-07,3.239958929577627e-07,5.966193896195149e-05
total_EAD_MEUR,curve_F9_1,0.05044823690291741,0.02488939587387353,0.05004545626056598,0.018493610070892418,-0.0004027806423514274
total_EAD_MEUR,curve_E7_10,1.22632433449664e-05,2.063508226813304e-05,5.213939418341342e-08,1.5089803836966746e-08,-1.2211103950782986e-05
total_EAD_MEUR,curve_E9_2,-0.00012606565225792518,0.0005010828974205852,2.2438368510404403e-05,5.7936493526595805e-06,0.0001485040207683296
total_EAD_MEUR,warming,0.1325838553249452,0.065524722982291,0.20590405388275546,0.0515066495003713,0.07332019855781025
total_EAD_MEUR,cost_level,0.0009302650818751812,0.009950299679070025,0.016275752482863816,0.0055741958853896415,0.015345487400988634
total_EAD_MEUR,protection_scale,0.6969833219973423,0.1998905489996959,0.9044735398142271,0.16487491921052536,0.20749021781688481
total_EAD_MEUR,depth_offset,0.010393186810251132,0.03668504826398586,0.09679204657562324,0.031272757787542106,0.08639885976537211
total_EAD_MEUR,pga_scale,3.384420432944631e-05,0.000177575576028822,3.67689682131905e-06,1.021229209295288e-06,-3.016730750812726e-05
total_EAD_MEUR,aggregation,0.0009302894184429471,0.0033182506057545186,0.001800245986478043,0.0011442390963191905,0.0008699565680350958
EAD_river_MEUR,curve_F7_4,-5.867709174460325e-05,0.00012691076624277953,9.40382001396854e-07,3.1564133589862934e-07,5.96174737460001e-05
EAD_river_MEUR,curve_F9_1,0.05046209662871917,0.026076922106802156,0.050044072802228376,0.018783785234936626,-0.00041802382649079595
EAD_river_MEUR,curve_E7_10,0.0,0.0,0.0,0.0,0.0
EAD_river_MEUR,curve_E9_2,0.0,0.0,0.0,0.0,0.0
EAD_river_MEUR,warming,0.13258187730914398,0.07347156569425474,0.20589836186391158,0.05321844768315275,0.07331648455476761
EAD_river_MEUR,cost_level,0.0006386372154674954,0.01127020622459471,0.015928859457999257,0.005314734449887759,0.015290222242531761
EAD_river_MEUR,protection_scale,0.6969171788774426,0.1804881032390928,0.9044485365161603,0.16052922521999843,0.20753135763871766
EAD_river_MEUR,depth_offset,0.010374906420377484,0.034487104524529875,0.09678937085291324,0.026313388483019534,0.08641446443253575
EAD_river_MEUR,pga_scale,0.0,0.0,0.0,0.0,0.0
EAD_river_MEUR,aggregation,0.000943743221874173,0.0035665805751440667,0.001800196220415235,0.0010188124904373884,0.0008564529985410619
EAD_earthquake_MEUR,curve_F7_4,0.0,0.0,0.0,0.0,0.0
EAD_earthquake_MEUR,curve_F9_1,0.0,0.0,0.0,0.0,0.0
EAD_earthquake_MEUR,curve_E7_10,-0.0032007748449775545,0.005562077297720155,0.001714355800231226,0.0003116343336315517,0.004915130645208781
EAD_earthquake_MEUR,curve_E9_2,0.7073153250003207,0.08451484446151115,0.7377789444237394,0.0859279075941814,0.030463619423418686
EAD_earthquake_MEUR,warming,0.0,0.0,0.0,0.0,0.0
EAD_earthquake_MEUR,cost_level,0.15365041962541695,0.05072464490111476,0.17533179847295852,0.025731774185505967,0.021681378847541566
EAD_earthquake_MEUR,protection_scale,0.0,0.0,0.0,0.0,0.0
EAD_earthquake_MEUR,depth_offset,0.0,0.0,0.0,0.0,0.0
EAD_earthquake_MEUR,pga_scale,0.12011801479948687,0.038821176467979765,0.12089725036514694,0.018482519296801087,0.0007792355656600636
EAD_earthquake_MEUR,aggregation,-5.958354296150094e-19,1.3213632929224239e-16,1.0682097858996088e-30,3.8235983330344255e-31,5.958354296160776e-19
damage_RP100_river_MEUR,curve_F7_4,-5.614824633851567e-06,0.0003838423746432977,6.5929486181391895e-06,1.268959667587286e-06,1.2207773251990757e-05
damage_RP100_river_MEUR,curve_F9_1,0.33473692097148733,0.06919864639930229,0.3566301859640046,0.04784201204737062,0.02189326499251726
damage_RP100_river_MEUR,curve_E7_10,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,curve_E9_2,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,warming,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,cost_level,0.13643458510091852,0.04933853649803722,0.1479198940798141,0.01825718743379062,0.011485308978895575
damage_RP100_river_MEUR,protection_scale,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,depth_offset,0.5045697697073243,0.07529794901487281,0.5097861966248572,0.06256679915829645,0.00521642691753299
damage_RP100_river_MEUR,pga_scale,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,aggregation,0.005686101872571321,0.01128776091723581,0.010996440439013093,0.001941199276732492,0.005310338566441772
