outcome,factor,S1,S1_conf,ST,ST_conf,interaction
total_EAD_MEUR,curve_F21_10,0.1475811729583663,0.06390013153146117,0.32161007791171503,0.13989400577773017,0.17402890495334872
total_EAD_MEUR,curve_E21_26_C,0.009523287102782633,0.01389830195935055,0.012712321029763532,0.0042649382670293355,0.003189033926980899
total_EAD_MEUR,warming,0.013158906151503625,0.012373975565786845,0.019110682434221617,0.007384805496192687,0.005951776282717992
total_EAD_MEUR,cost_level,0.08162982416983225,0.05345110478897503,0.2172090284985555,0.07450014657342195,0.13557920432872325
total_EAD_MEUR,protection_scale,0.45032437292876726,0.13257554798726753,0.7032662587246736,0.23456063065081537,0.2529418857959064
total_EAD_MEUR,depth_offset,9.6556925400687e-05,0.019540309731609785,0.04962630241660141,0.021805202055482892,0.049529745491200726
total_EAD_MEUR,pga_scale,-0.001602798562215183,0.0026904412166216677,0.0004909823631124172,0.0001768282132452772,0.0020937809253276
total_EAD_MEUR,aggregation,-0.000912831157789867,0.002044817769580366,0.0006017499416571942,0.0003113151704184997,0.0015145810994470613
EAD_river_MEUR,curve_F21_10,0.15088012627479783,0.0700026328665779,0.33362013174201927,0.12993526188785426,0.18274000546722144
EAD_river_MEUR,curve_E21_26_C,0.0,0.0,0.0,0.0,0.0
EAD_river_MEUR,warming,0.013736991110530228,0.01302546979342872,0.019824342672293677,0.00712470436129726,0.0060873515617634495
EAD_river_MEUR,cost_level,0.05690296929235576,0.044222691796026684,0.19216328673142796,0.08298574306160152,0.1352603174390722
EAD_river_MEUR,protection_scale,0.4708085143621757,0.13223431838399446,0.7295286995012918,0.23050304178559464,0.25872018513911615
EAD_river_MEUR,depth_offset,0.0006127981465154083,0.01785297692959663,0.05147952345772173,0.027135371306317286,0.05086672531120632
EAD_river_MEUR,pga_scale,0.0,0.0,0.0,0.0,0.0
EAD_river_MEUR,aggregation,-0.0011132914766366871,0.0024664213041282485,0.0006242214053582466,0.00035131449602047413,0.0017375128819949338
EAD_earthquake_MEUR,curve_F21_10,0.0,0.0,0.0,0.0,0.0
EAD_earthquake_MEUR,curve_E21_26_C,0.6655067097877232,0.10844187784416513,0.8530200794381698,0.11306113305706339,0.18751336965044663
EAD_earthquake_MEUR,warming,0.0,0.0,0.0,0.0,0.0
EAD_earthquake_MEUR,cost_level,0.18762547577485916,0.058610000186255486,0.30895307466963906,0.06100985571977436,0.1213275988947799
EAD_earthquake_MEUR,protection_scale,0.0,0.0,0.0,0.0,0.0
EAD_earthquake_MEUR,depth_offset,0.0,0.0,0.0,0.0,0.0
EAD_earthquake_MEUR,pga_scale,0.00887956490853252,0.02206030871408879,0.03294581795128604,0.006826430487281982,0.02406625304275352
EAD_earthquake_MEUR,aggregation,4.392017422767787e-18,5.280357581311779e-18,4.6707239965816055e-33,3.818396611010076e-33,-4.392017422767783e-18
damage_RP100_river_MEUR,curve_F21_10,0.5204144532834896,0.07953718427091222,0.6389840481776619,0.09394476865460749,0.11856959489417229
damage_RP100_river_MEUR,curve_E21_26_C,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,warming,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,cost_level,0.35814211910553784,0.06534786704375235,0.4051843513002191,0.05094898189687373,0.04704223219468129
damage_RP100_river_MEUR,protection_scale,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,depth_offset,0.05680317891165363,0.0307309770975997,0.07641031678315481,0.015081906382984072,0.01960713787150118
damage_RP100_river_MEUR,pga_scale,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,aggregation,-0.0003586090859214405,0.0035259448957393837,0.0009641210040356532,0.00017731893852433484,0.0013227300899570937
