outcome,factor,S1,S1_conf,ST,ST_conf,interaction
total_EAD_MEUR,curve_F7_4,0.007792687594923249,0.018036902414319152,0.01590918086677303,0.0035034428354868458,0.008116493271849781
total_EAD_MEUR,curve_F7_8,0.4514198708054751,0.08899487866085691,0.6171416120394803,0.12279980147938321,0.16572174123400518
total_EAD_MEUR,warming,0.13630800251087014,0.05983275663527576,0.23280278635906387,0.04255712016885062,0.09649478384819374
total_EAD_MEUR,cost_level,0.13919616401330848,0.05918721353150968,0.2235799315643852,0.05450692313527261,0.08438376755107671
total_EAD_MEUR,depth_offset,0.07212860508217586,0.039432401613808864,0.13569140151426298,0.029438570607086583,0.06356279643208712
total_EAD_MEUR,aggregation,-0.0002636741418420479,0.0014758688639970902,0.00019276305315099374,4.852942994424435e-05,0.00045643719499304165
EAD_river_MEUR,curve_F7_4,0.007792687594923249,0.01835589141560889,0.01590918086677303,0.0035985102102401075,0.008116493271849781
EAD_river_MEUR,curve_F7_8,0.4514198708054751,0.08612635662326028,0.6171416120394803,0.11797019985779483,0.16572174123400518
EAD_river_MEUR,warming,0.13630800251087014,0.05263086228179271,0.23280278635906387,0.0497901235782268,0.09649478384819374
EAD_river_MEUR,cost_level,0.13919616401330848,0.0582067067227164,0.2235799315643852,0.04953147637453417,0.08438376755107671
EAD_river_MEUR,depth_offset,0.07212860508217586,0.043934728302836554,0.13569140151426298,0.030147543192662,0.06356279643208712
EAD_river_MEUR,aggregation,-0.0002636741418420479,0.0015384935877785248,0.00019276305315099374,4.55286704869667e-05,0.00045643719499304165
damage_RP100_river_MEUR,curve_F7_4,0.029858366763701693,0.02389807125435715,0.03535440907217805,0.005631313605136899,0.005496042308476359
damage_RP100_river_MEUR,curve_F7_8,0.5526124521734824,0.07793353647099432,0.6727907876921952,0.11137333260462051,0.12017833551871282
damage_RP100_river_MEUR,warming,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,cost_level,0.18333037041370803,0.06212532973624167,0.25812780233045973,0.048948046474041516,0.0747974319167517
damage_RP100_river_MEUR,depth_offset,0.10259706550887976,0.051648201487728,0.1673236144331401,0.029345658338455802,0.06472654892426033
damage_RP100_river_MEUR,aggregation,0.000370320977246396,0.0027109967577282398,0.0005246547406744236,9.499591955437055e-05,0.00015433376342802765
