0,total_EAD_MEUR,EAD_river_MEUR,EAD_earthquake_MEUR,damage_RP100_river_MEUR,exposed_qty_RP100_river,EAD_aerodrome_MEUR,EAD_apron_MEUR,EAD_runway_MEUR,EAD_terminal_MEUR
curve_F7_4,0.008916580823653401,0.0,0.009288124884424445,0.0,0.0,0.008019240573004844,0.008496174535993032,0.04030148363258851,0.01529633862575429
curve_F9_1,0.008841643810898518,0.0,0.009063598557723178,0.0,0.0,0.007651894147849863,0.007921491706893583,0.03604748088738051,0.013690295515660063
curve_E7_10,0.011424887516856046,0.0,0.011686428472472785,0.0,0.0,0.008804190031059152,0.009408840926312742,0.5913907643677704,0.01832447664402105
curve_E9_2,0.6497815596920176,0.0,0.6440432798943424,0.0,0.0,0.7029565501778307,0.7070428632016986,0.03414465356597555,0.09074880416106969
warming,0.00954457071035137,0.0,0.009584210665765478,0.0,0.0,0.008792781233460499,0.008506324124931023,0.038073036725273936,0.0160275226221753
cost_level,0.1473402377603259,0.0,0.1451368055874616,0.0,0.0,0.08980310640050528,0.08988761497127994,0.08089855218171715,0.7687740226055585
protection_abs_rp,0.009947955071582072,0.0,0.010319409369293861,0.0,0.0,0.008531352749440365,0.00961934099329904,0.041200567765712216,0.01787790462245013
depth_offset,0.009761032905846692,0.0,0.009930511214637722,0.0,0.0,0.009209808022673129,0.008589497320984022,0.04446388321356789,0.017375630454209645
pga_scale,0.1383864129177814,0.0,0.14446677067264438,0.0,0.0,0.1513352048620487,0.1450609115815863,0.06956450665406111,0.032816087630364345
aggregation,0.006055118790687225,0.0,0.006480860681234061,0.0,0.0,0.004895871802127442,0.005466940637021546,0.02391507100595294,0.009068917118736914
