outcome,factor,S1,S1_conf,ST,ST_conf,interaction
total_EAD_MEUR,curve_F7_4,0.0,0.0,0.0,0.0,0.0
total_EAD_MEUR,curve_F9_1,0.0,0.0,0.0,0.0,0.0
total_EAD_MEUR,curve_E7_10,0.0027448415711371827,0.002896617396389134,0.0026968112171496614,0.0003225531883022948,-4.8030353987521274e-05
total_EAD_MEUR,curve_E9_2,0.6470080143545813,0.045526456419850404,0.6666680225621984,0.04074499379819112,0.01966000820761704
total_EAD_MEUR,warming,0.0,0.0,0.0,0.0,0.0
total_EAD_MEUR,cost_level,0.16399755168494431,0.022232240064596558,0.18589686630614288,0.014169130791892266,0.021899314621198568
total_EAD_MEUR,protection_abs_rp,0.0,0.0,0.0,0.0,0.0
total_EAD_MEUR,depth_offset,0.0,0.0,0.0,0.0,0.0
total_EAD_MEUR,pga_scale,0.151436844174878,0.024998776529684828,0.16839827518985984,0.011563382358523054,0.016961431014981848
total_EAD_MEUR,aggregation,-6.017858715502045e-06,3.043353492196738e-06,3.27545002460927e-09,1.5710581072129638e-09,6.021134165526654e-06
EAD_river_MEUR,curve_F7_4,0.0,0.0,0.0,0.0,0.0
EAD_river_MEUR,curve_F9_1,0.0,0.0,0.0,0.0,0.0
EAD_river_MEUR,curve_E7_10,0.0,0.0,0.0,0.0,0.0
EAD_river_MEUR,curve_E9_2,0.0,0.0,0.0,0.0,0.0
EAD_river_MEUR,warming,0.0,0.0,0.0,0.0,0.0
EAD_river_MEUR,cost_level,0.0,0.0,0.0,0.0,0.0
EAD_river_MEUR,protection_abs_rp,0.0,0.0,0.0,0.0,0.0
EAD_river_MEUR,depth_offset,0.0,0.0,0.0,0.0,0.0
EAD_river_MEUR,pga_scale,0.0,0.0,0.0,0.0,0.0
EAD_river_MEUR,aggregation,0.0,0.0,0.0,0.0,0.0
EAD_earthquake_MEUR,curve_F7_4,0.0,0.0,0.0,0.0,0.0
EAD_earthquake_MEUR,curve_F9_1,0.0,0.0,0.0,0.0,0.0
EAD_earthquake_MEUR,curve_E7_10,0.0027448415711371827,0.003048630078527975,0.0026968112171496614,0.00029694129809439585,-4.8030353987521274e-05
EAD_earthquake_MEUR,curve_E9_2,0.6470080143545813,0.04614271814362945,0.6666680225621984,0.043072491904863563,0.01966000820761704
EAD_earthquake_MEUR,warming,0.0,0.0,0.0,0.0,0.0
EAD_earthquake_MEUR,cost_level,0.16399755168494431,0.025933744076272726,0.18589686630614288,0.012253499101753183,0.021899314621198568
EAD_earthquake_MEUR,protection_abs_rp,0.0,0.0,0.0,0.0,0.0
EAD_earthquake_MEUR,depth_offset,0.0,0.0,0.0,0.0,0.0
EAD_earthquake_MEUR,pga_scale,0.151436844174878,0.02348772929429684,0.16839827518985984,0.012493817281698426,0.016961431014981848
EAD_earthquake_MEUR,aggregation,-6.017858715502045e-06,2.868993636697173e-06,3.27545002460927e-09,1.3871722369989082e-09,6.021134165526654e-06
damage_RP100_river_MEUR,curve_F7_4,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,curve_F9_1,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,curve_E7_10,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,curve_E9_2,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,warming,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,cost_level,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,protection_abs_rp,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,depth_offset,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,pga_scale,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,aggregation,0.0,0.0,0.0,0.0,0.0
