0,total_EAD_MEUR,EAD_river_MEUR,EAD_earthquake_MEUR,damage_RP100_river_MEUR,exposed_qty_RP100_river,EAD_aerodrome_MEUR,EAD_apron_MEUR,EAD_runway_MEUR,EAD_terminal_MEUR
curve_F7_4,0.009005651920937609,0.0,0.008928956039253852,0.0,0.0,0.008916432542696633,0.009039725195497821,0.034022500043864076,0.01566189250058109
curve_F9_1,0.00786715864762607,0.0,0.008291496824953394,0.0,0.0,0.007993744265572787,0.007666594045975653,0.0316217861609668,0.01326770372064868
curve_E7_10,0.010480373163691983,0.0,0.010485422108459583,0.0,0.0,0.009448772159262488,0.009043928170035066,0.6023348288851024,0.016689940741881234
curve_E9_2,0.6481485035290018,0.0,0.6490758178739277,0.0,0.0,0.6953855166490652,0.6987879681317087,0.03159040208053852,0.08448099506955181
warming,0.009289284975911565,0.0,0.009223543403287343,0.0,0.0,0.008768239041809078,0.008929408116423636,0.038801006146415074,0.015314520221745476
cost_level,0.14671436422103618,0.0,0.1479301329759479,0.0,0.0,0.09019255993360102,0.08942134639048402,0.10136121487889722,0.7732074648939926
protection_scale,0.009509531586633979,0.0,0.009156122809530605,0.0,0.0,0.009870354331586383,0.009450129199017316,0.04152412277046269,0.01883776164871686
depth_offset,0.009602397331880107,0.0,0.009839571073132143,0.0,0.0,0.010059593045805794,0.010141663835277709,0.04057858463753578,0.016485339275902452
pga_scale,0.1432976903497597,0.0,0.14125619018884045,0.0,0.0,0.15343638055976186,0.15191564217763184,0.0562770972707144,0.03622301320559832
aggregation,0.006085044273521062,0.0,0.00581274670266718,0.0,0.0,0.005928407470838717,0.0056035947379482675,0.021888457125502976,0.009831368721381436
