outcome,factor,S1,S1_conf,ST,ST_conf,interaction
total_EAD_MEUR,curve_E7_10,0.0005188168631772831,0.007254117946734128,0.002811170320736359,0.0006178471087529917,0.0022923534575590757
total_EAD_MEUR,curve_E9_2,0.662349550398189,0.08229059128312008,0.6813372679529942,0.07717031742474373,0.018987717554805217
total_EAD_MEUR,cost_level,0.16213168185372057,0.05131307467911068,0.17905991155682238,0.025395894818369905,0.016928229703101816
total_EAD_MEUR,pga_scale,0.14963498181180068,0.04519023066909105,0.17033749375791987,0.02319697412691893,0.02070251194611919
total_EAD_MEUR,aggregation,-1.1922429679717057e-06,4.536137331509682e-06,2.3105372821607567e-09,1.995919014153077e-09,1.1945535052538665e-06
EAD_earthquake_MEUR,curve_E7_10,0.0005188168631772831,0.006354374672410923,0.002811170320736359,0.0004946522217325739,0.0022923534575590757
EAD_earthquake_MEUR,curve_E9_2,0.662349550398189,0.08002048414191357,0.6813372679529942,0.07893223140781475,0.018987717554805217
EAD_earthquake_MEUR,cost_level,0.16213168185372057,0.05131366937766165,0.17905991155682238,0.02419830583129571,0.016928229703101816
EAD_earthquake_MEUR,pga_scale,0.14963498181180068,0.042022931723423224,0.17033749375791987,0.026169203104464283,0.02070251194611919
EAD_earthquake_MEUR,aggregation,-1.1922429679717057e-06,4.840385721672676e-06,2.3105372821607567e-09,1.9726079747647606e-09,1.1945535052538665e-06
