outcome,factor,S1,S1_conf,ST,ST_conf,interaction
total_EAD_MEUR,curve_F7_4,0.0,0.0,0.0,0.0,0.0
total_EAD_MEUR,curve_F9_1,0.0,0.0,0.0,0.0,0.0
total_EAD_MEUR,warming,0.0,0.0,0.0,0.0,0.0
total_EAD_MEUR,cost_level,0.0,0.0,0.0,0.0,0.0
total_EAD_MEUR,depth_offset,0.0,0.0,0.0,0.0,0.0
total_EAD_MEUR,aggregation,0.0,0.0,0.0,0.0,0.0
EAD_river_MEUR,curve_F7_4,0.0,0.0,0.0,0.0,0.0
EAD_river_MEUR,curve_F9_1,0.0,0.0,0.0,0.0,0.0
EAD_river_MEUR,warming,0.0,0.0,0.0,0.0,0.0
EAD_river_MEUR,cost_level,0.0,0.0,0.0,0.0,0.0
EAD_river_MEUR,depth_offset,0.0,0.0,0.0,0.0,0.0
EAD_river_MEUR,aggregation,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,curve_F7_4,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,curve_F9_1,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,warming,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,cost_level,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,depth_offset,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,aggregation,0.0,0.0,0.0,0.0,0.0
