outcome,factor,S1,S1_conf,ST,ST_conf,interaction
total_EAD_MEUR,curve_F21_10,0.03598373166412817,0.016342885397827203,0.11563609251795999,0.023551248129745597,0.07965236085383182
total_EAD_MEUR,curve_E21_26_C,0.0012783040013041082,0.002653555388808768,0.003267693904907644,0.0005639412071973483,0.001989389903603536
total_EAD_MEUR,warming,0.08926817167960761,0.04152522384241398,0.14755318826255787,0.02379736146627854,0.05828501658295025
total_EAD_MEUR,cost_level,0.10583644308783711,0.02581644493071659,0.22751029557647684,0.03924401377242925,0.12167385248863972
total_EAD_MEUR,protection_abs_rp,0.5527873645108612,0.0977752973556841,0.7418537084214534,0.09508892600890677,0.18906634391059218
total_EAD_MEUR,depth_offset,-0.002416897212604992,0.006311512024220371,0.01572545738357742,0.0034891495328621563,0.018142354596182415
total_EAD_MEUR,pga_scale,4.762382063611973e-05,0.0009168642961692794,0.00014447699600733882,2.4565719725336298e-05,9.68531753712191e-05
total_EAD_MEUR,aggregation,-0.0002582577916649366,0.00315431569996187,0.0022783746677427284,0.000517096177078237,0.002536632459407665
EAD_river_MEUR,curve_F21_10,0.03625881402978033,0.018097497272023786,0.1182316943168379,0.028155705690624946,0.08197288028705757
EAD_river_MEUR,curve_E21_26_C,0.0,0.0,0.0,0.0,0.0
EAD_river_MEUR,warming,0.09089260403483204,0.043270551149922495,0.15086521059524766,0.026260851153057783,0.059972606560415614
EAD_river_MEUR,cost_level,0.09038302516434789,0.02517271300463968,0.21349818782293328,0.03771622097165662,0.1231151626585854
EAD_river_MEUR,protection_abs_rp,0.5647940580109072,0.07902237471347383,0.7585055753096732,0.09085660349742897,0.193711517298766
EAD_river_MEUR,depth_offset,-0.0027015295872107443,0.006005138547777477,0.016078435632705414,0.004209797212675767,0.018779965219916157
EAD_river_MEUR,pga_scale,0.0,0.0,0.0,0.0,0.0
EAD_river_MEUR,aggregation,-0.0002904830955262347,0.003352326846667866,0.0023295213361921416,0.0004940209830281612,0.0026200044317183763
EAD_earthquake_MEUR,curve_F21_10,0.0,0.0,0.0,0.0,0.0
EAD_earthquake_MEUR,curve_E21_26_C,0.6756034990290032,0.05494141481656067,0.7875475801876993,0.06403543838395484,0.11194408115869614
EAD_earthquake_MEUR,warming,0.0,0.0,0.0,0.0,0.0
EAD_earthquake_MEUR,cost_level,0.19537257524330195,0.03482772998320942,0.3110852637375185,0.032500363755784356,0.11571268849421654
EAD_earthquake_MEUR,protection_abs_rp,0.0,0.0,0.0,0.0,0.0
EAD_earthquake_MEUR,depth_offset,0.0,0.0,0.0,0.0,0.0
EAD_earthquake_MEUR,pga_scale,0.020645183582823686,0.010649429867877609,0.034820430526703035,0.0036179203622950136,0.014175246943879349
EAD_earthquake_MEUR,aggregation,-6.119688545104965e-08,1.2948363337700803e-07,5.349768984440498e-12,1.3340098221604204e-12,6.120223522003408e-08
damage_RP100_river_MEUR,curve_F21_10,0.25910970532796834,0.030189750438435813,0.2979284748599769,0.019844128639579604,0.03881876953200858
damage_RP100_river_MEUR,curve_E21_26_C,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,warming,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,cost_level,0.65394990504082,0.04309471830098731,0.7021374078505003,0.039909077101740006,0.048187502809680316
damage_RP100_river_MEUR,protection_abs_rp,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,depth_offset,0.034982338898088806,0.012774129278696292,0.04333865620856952,0.0030926182926952132,0.008356317310480713
damage_RP100_river_MEUR,pga_scale,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,aggregation,0.007157363618213989,0.006951935753605544,0.008696545828393208,0.0005926575929712056,0.0015391822101792196
