outcome,factor,S1,S1_conf,ST,ST_conf,interaction
total_EAD_MEUR,curve_F21_10,0.024782065029575407,0.012999785068420396,0.11603212162865983,0.026619751735379008,0.09125005659908443
total_EAD_MEUR,curve_E21_26_C,0.0036734286647641663,0.0034814104928973253,0.0033808993530425623,0.0005767892210433258,-0.00029252931172160396
total_EAD_MEUR,warming,0.04650485134966869,0.01952051076417829,0.0999371603487586,0.018991214662574342,0.05343230899908991
total_EAD_MEUR,cost_level,0.0823684310362693,0.04136757379713799,0.21803639834461683,0.04068179826058969,0.13566796730834751
total_EAD_MEUR,protection_scale,0.5803176154679195,0.10855231084333572,0.8757383105880092,0.13248857866885722,0.2954206951200897
total_EAD_MEUR,depth_offset,0.014031474756128124,0.009398796475862444,0.012660563601080995,0.0029204323215117163,-0.0013709111550471286
total_EAD_MEUR,pga_scale,9.425978786875637e-05,0.0005782017269111884,0.00014858687515977487,2.792475520022555e-05,5.43270872910185e-05
total_EAD_MEUR,aggregation,-0.00164078454233871,0.003431154513416745,0.0019586966284021105,0.0006440075458525766,0.0035994811707408206
EAD_river_MEUR,curve_F21_10,0.024812145955553082,0.014403715550023627,0.11841085622302017,0.03464126259408233,0.09359871026746708
EAD_river_MEUR,curve_E21_26_C,0.0,0.0,0.0,0.0,0.0
EAD_river_MEUR,warming,0.04718740641520141,0.018126307597789215,0.10198593768081946,0.019042804370134437,0.054798531265618046
EAD_river_MEUR,cost_level,0.06773190217656837,0.03600244235333171,0.2057785856184357,0.047545099746356644,0.13804668344186732
EAD_river_MEUR,protection_scale,0.5932136449497274,0.1051266843514365,0.8936915203178898,0.131720368471328,0.3004778753681624
EAD_river_MEUR,depth_offset,0.014697126402578765,0.01087691226968619,0.012920113458476273,0.0031044307843582676,-0.001777012944102492
EAD_river_MEUR,pga_scale,0.0,0.0,0.0,0.0,0.0
EAD_river_MEUR,aggregation,-0.001703417149204518,0.0035123426283809986,0.0019988558759782347,0.0006202485832593168,0.0037022730251827524
EAD_earthquake_MEUR,curve_F21_10,0.0,0.0,0.0,0.0,0.0
EAD_earthquake_MEUR,curve_E21_26_C,0.6570769853698054,0.05915610294171123,0.7777431310865701,0.05661136237985176,0.1206661457167647
EAD_earthquake_MEUR,warming,0.0,0.0,0.0,0.0,0.0
EAD_earthquake_MEUR,cost_level,0.2130446820445958,0.032466689569872566,0.3091558445471121,0.031362268726924235,0.09611116250251628
EAD_earthquake_MEUR,protection_scale,0.0,0.0,0.0,0.0,0.0
EAD_earthquake_MEUR,depth_offset,0.0,0.0,0.0,0.0,0.0
EAD_earthquake_MEUR,pga_scale,0.02350019612320649,0.01050271087938744,0.03418097064058855,0.0037220890708683538,0.010680774517382061
EAD_earthquake_MEUR,aggregation,8.234302123440875e-08,1.4427004773504378e-07,5.956673752919189e-12,1.5906087159733983e-12,-8.233706456065583e-08
damage_RP100_river_MEUR,curve_F21_10,0.2594664692798874,0.030227406913000198,0.29614838076881045,0.021593685438396022,0.036681911488923025
damage_RP100_river_MEUR,curve_E21_26_C,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,warming,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,cost_level,0.6405128744054149,0.04665241889556732,0.696533758567466,0.041136642198600214,0.05602088416205109
damage_RP100_river_MEUR,protection_scale,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,depth_offset,0.034300577931626185,0.013435826599672162,0.042507280610741986,0.0036652665859415313,0.008206702679115802
damage_RP100_river_MEUR,pga_scale,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,aggregation,0.006787841727584939,0.005407186278233148,0.009104995983048085,0.000795212097770313,0.0023171542554631464
