outcome,factor,S1,S1_conf,ST,ST_conf,interaction
total_EAD_MEUR,curve_F21_10,0.11563692717111197,0.01871417713628782,0.14833331198354865,0.01444160468433079,0.03269638481243668
total_EAD_MEUR,warming,0.3660473144784521,0.040198734286847115,0.44349784208336873,0.03474123169024049,0.07745052760491661
total_EAD_MEUR,cost_level,0.395617701299191,0.04109845250363786,0.47729487611460775,0.04313274611463878,0.08167717481541675
total_EAD_MEUR,depth_offset,0.015838397721048038,0.009733731972942734,0.02138482340124917,0.0022607986020749486,0.005546425680201132
total_EAD_MEUR,aggregation,0.0029142698972172668,0.004382559499786569,0.004381938636781424,0.00042146947514684705,0.001467668739564157
EAD_river_MEUR,curve_F21_10,0.11563692717111197,0.01939441075882296,0.14833331198354865,0.013389148537544308,0.03269638481243668
EAD_river_MEUR,warming,0.3660473144784521,0.03936052279963459,0.44349784208336873,0.03574236567649833,0.07745052760491661
EAD_river_MEUR,cost_level,0.395617701299191,0.041432375784176474,0.47729487611460775,0.03753369611086947,0.08167717481541675
EAD_river_MEUR,depth_offset,0.015838397721048038,0.008219747120813274,0.02138482340124917,0.0019512310199449449,0.005546425680201132
EAD_river_MEUR,aggregation,0.0029142698972172668,0.004281356899328528,0.004381938636781424,0.0004714246333512439,0.001467668739564157
damage_RP100_river_MEUR,curve_F21_10,0.2609153406953782,0.026238206061765565,0.30414928042930195,0.02279718191163081,0.043233939733923754
damage_RP100_river_MEUR,warming,0.0,0.0,0.0,0.0,0.0
damage_RP100_river_MEUR,cost_level,0.648229570380234,0.048220338114285874,0.6922097829637868,0.04220909001447794,0.04398021258355278
damage_RP100_river_MEUR,depth_offset,0.03880942844224304,0.01460463977039081,0.04363937256788754,0.003407176517085955,0.0048299441256444975
damage_RP100_river_MEUR,aggregation,0.0067518160996299665,0.006142122853675371,0.008670215018273246,0.0007159865370298491,0.0019183989186432795
