outcome,factor,S1,S1_conf,ST,ST_conf,interaction
total_EAD_MEUR,curve_E1_1,0.09762839714333338,0.04234721696248612,0.19783204184586667,0.05117011112725809,0.10020364470253329
total_EAD_MEUR,curve_E2_1,0.30626166493649887,0.1005784465595812,0.4458751797107483,0.11196739105640761,0.13961351477424944
total_EAD_MEUR,curve_E3_1,3.17788601789217e-17,3.236551045771556e-16,2.677035892596195e-29,1.3870362952149052e-29,-3.177886017889493e-17
total_EAD_MEUR,curve_E4_1,0.010635354835144547,0.012729765243560546,0.009204458348540563,0.0022784931740480285,-0.0014308964866039837
total_EAD_MEUR,curve_E6_1,0.001464105607399006,0.003514530228239939,0.0012572384782604355,0.0003380576177198613,-0.0002068671291385704
total_EAD_MEUR,cost_level,0.37613850466864673,0.10090584549657873,0.5135458127260029,0.11812811484077229,0.13740730805735613
total_EAD_MEUR,pga_scale,0.010649756253733272,0.023706480947106114,0.03586959537971179,0.010563588812013509,0.025219839125978513
total_EAD_MEUR,aggregation,1.1902061444543124e-06,2.847746186412167e-06,9.14596064593746e-10,5.609800460338148e-10,-1.1892915483897186e-06
EAD_earthquake_MEUR,curve_E1_1,0.09762839714333338,0.040687888362492514,0.19783204184586667,0.05614195961390001,0.10020364470253329
EAD_earthquake_MEUR,curve_E2_1,0.30626166493649887,0.09941595600981448,0.4458751797107483,0.10754492560563471,0.13961351477424944
EAD_earthquake_MEUR,curve_E3_1,3.17788601789217e-17,3.900658061553234e-16,2.677035892596195e-29,1.2987823421438816e-29,-3.177886017889493e-17
EAD_earthquake_MEUR,curve_E4_1,0.010635354835144547,0.012176588868326592,0.009204458348540563,0.0024744346768180467,-0.0014308964866039837
EAD_earthquake_MEUR,curve_E6_1,0.001464105607399006,0.0038798480882478482,0.0012572384782604355,0.0003155132621521493,-0.0002068671291385704
EAD_earthquake_MEUR,cost_level,0.37613850466864673,0.11381741424470963,0.5135458127260029,0.11624212228040455,0.13740730805735613
EAD_earthquake_MEUR,pga_scale,0.010649756253733272,0.022292073329452287,0.03586959537971179,0.010956449135674885,0.025219839125978513
EAD_earthquake_MEUR,aggregation,1.1902061444543124e-06,2.674673842059809e-06,9.14596064593746e-10,5.995155850585229e-10,-1.1892915483897186e-06
